,title,area,numberOfRooms,price,town,district
116,Pendik dumlupınrda 3+1 ara kat daire 130m ön cephe,130,3+1,1.085.000,Pendik,Dolayoba
117,BEYLİKDÜZÜ AREN'DEN 115M2 BAHÇELi DAİRE !,115,2+1,399.999,Beylikdüzü,Kavaklı
118,ŞOK KAMPANYA SADECE 120.000 PEŞİN AYLIK 6.750TL EV SAHİBİ OLUN,110,2+1,520.000,Beylikdüzü,Kavaklı
119,BEYLİKDÜZÜ MEHAL YAPIDAN 1+1 İSTER HEMEN OTUR İSTER KİRAYA VER!!,85,1+1,655.000,Beylikdüzü,Kavaklı
120,DERİN YAPI'DAN METROBÜSE YAKIN ŞIK TARSARIMLI 2+1 تشطيبات فاخرة,120,2+1,1.300.000,Beylikdüzü,Yakuplu
121,DERİN YAPI'DAN METROBÜSE YAKIN ŞIK TARSARIMLI 2+1 تشطيبات فاخرة,120,2+1,1.300.000,Beylikdüzü,Yakuplu
122,ERENKÖY'DE BAĞDAT'A 2 DK DENİZ MANZARALI 150 M2 GÜVENLİKLİ 3+1,150,3+1,8.475.000,Kadıköy,Erenköy
123,SİTE İÇERİSİNDE LÜXS KULLANIŞLI DAİRE,140,2+1,1.800.000,,
124,LÜX DİZAYNA SAHİP KULLANIMA HAZIR ŞIK 2+1 SATILIK DAİRE FIRSATI,110,2+1,439.000,,
125,ORTAKÖY YOOİSTANBUL SATILIK BÜYÜK BAHÇE DUBLEKSİ,420,4+2,50.400.000,Beşiktaş,Levazım
126,ZORLU'YA KOMŞU YOOİSTANBUL'DA SATILIK PENTHOUSE,458,5+2,50.400.000,Beşiktaş,Levazım
127,BEYLİKDÜZÜ KARVEN'DEN GÖZ DOLDURAN YAPISI İLE 1+1 SİTE İÇİ DAİRE,85,1+1,749.000,Beylikdüzü,Kavaklı
128,HİSAR İNŞAAT GÜVENCESİYLE KOMİSYONSUZ MASRAFSIZ DAİRELER!!,131,3+1,3.900.000,Kadıköy,Merdivenköy
129,BEYLİKDÜZÜ SONSUZ'DAN METROYA 5DK ULTRALÜX SIFIR 2+1 120M2 DAİRE,120,2+1,679.999,Beylikdüzü,Kavaklı
130,ÜÇEL SIFIR BOSTANCI IŞIKLAR MARMARAY YAKIN LUX YAPILI 95M2 2+1!,95,2+1,2.750.000,Kadıköy,Bostancı
131,"BEYLİKDÜZÜ'NDE %0,99 FAİZ ORANINA UYGUN 2+1 BAHÇELİ BAHÇE KATI",95,2+1,750.000,Beylikdüzü,Yakuplu
132,ÜÇEL İDEALTEPE SAHİL'DE EBEVEYNLİ OTOPARKLI LUX YAPILI 165M2 3+1,165,3+1,2.900.000,Maltepe,İdealtepe
133,ÜÇEL TEK YETKİLİ DENİZ MANZARALI ARA KAT ULTRA LÜX 2+1 !!!,85,2+1,2.650.000,Maltepe,Küçükyalı
134,ÜÇEL TEK YETKİLİ BOSTANCI IŞIKLAR YAKIN ÖZEL TERAS KULLANMLI 2+1,95,2+1,2.600.000,Maltepe,Küçükyalı
135,YATIRIM'dan İdealtepe Koruda 165m2 site özelikli asansörlü 3+1,165,3+1,3.500.000,Maltepe,İdealtepe
136,ÜÇEL TEK YETKİLİ ALTINTEPE DE KAPALI OTOPARKLI BALKONLU 2+1,95,2+1,2.350.000,Maltepe,Küçükyalı
